especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
goiaba,2.23381681439699,5.41818181818182,0.895842424242424,0.18870303030303,0.606763636363636,1.22882424242424,2.37389090909091,0.833
goiaba,1.34488315874295,4.4,0.703939393939394,0.16830303030303,0.432424242424242,1.02170909090909,1.91791515151515,0.857
goiaba,1.58017727639001,4.7030303030303,0.764339393939394,0.184315151515152,0.508763636363636,1.08458181818182,2.11126060606061,0.869
goiaba,0.866774106903035,3.96363636363636,0.59129696969697,0.178,0.273818181818182,0.933648484848485,1.68573333333333,0.899
goiaba,1.174053182917,4.37575757575758,0.671454545454546,0.196121212121212,0.345454545454545,1.02813333333333,1.95746666666667,0.898
goiaba,1.65498254096159,4.71515151515151,0.763878787878788,0.147806060606061,0.552545454545455,1.05779393939394,1.98732121212121,0.806
goiaba,1.59736771420897,4.48484848484848,0.746533333333333,0.117939393939394,0.576060606060606,0.973418181818182,1.8612,0.765
goiaba,1.28606279168434,4.67217630853995,0.710699724517906,0.200341597796143,0.34963085399449,1.08837465564738,2.04744903581267,0.883
goiaba,1.09121764955452,3.68044077134986,0.632606060606061,0.0931790633608815,0.497840220385675,0.809939393939394,1.55054545454545,0.748
goiaba,1.6045820958846,4.88154269972452,0.792396694214876,0.150027548209366,0.590446280991736,1.06247933884298,1.95032506887052,0.786
goiaba,0.589308442935936,3.39393939393939,0.501730027548209,0.170413223140496,0.188297520661157,0.818457300275482,1.49673829201102,0.912
goiaba,1.14775137887145,3.95592286501377,0.652539944903581,0.123151515151515,0.478953168044077,0.875636363636364,1.68802203856749,0.809
goiaba,0.943784471786169,3.52617079889807,0.588727272727273,0.1033608815427,0.399162534435262,0.756176308539945,1.49944903581267,0.789
goiaba,1.06639796351294,3.85674931129477,0.628187327823691,0.125476584022039,0.422358126721763,0.876859504132231,1.64307438016529,0.814
goiaba,1.06183708103521,3.87878787878788,0.627415977961433,0.125432506887052,0.43270523415978,0.849575757575758,1.6443305785124,0.817
